stop,day_of_week,hour,weather_flag,headway_minutes,queue_count
CITS,0,16,1,7.4,37
CITS,0,20,1,17.6,19
CITS,0,0,1,20.0,27
CITS,0,18,1,9.9,41
CITS,0,22,0,12.9,9
CITS,1,18,0,9.0,34
CITS,1,13,0,15.8,15
CITS,1,18,0,9.3,31
CITS,1,17,1,6.5,34
CITS,1,3,0,18.4,13
CITS,2,9,1,7.3,50
CITS,2,6,0,13.6,13
CITS,2,23,0,17.6,17
CITS,2,18,0,6.1,20
CITS,2,8,0,6.1,38
CITS,3,19,0,18.6,13
CITS,3,20,0,14.6,11
CITS,3,14,0,17.8,19
CITS,3,9,1,10.6,36
CITS,3,3,0,19.9,13
CITS,4,2,0,22.0,15
CITS,4,22,0,12.1,17
CITS,4,16,0,6.3,32
CITS,4,4,0,16.5,20
CITS,4,19,0,17.0,10
CITS,5,20,0,24.5,10
CITS,5,15,1,36.7,20
CITS,5,0,0,20.3,12
CITS,5,19,0,24.6,4
CITS,5,19,0,21.3,8
CITS,6,2,0,31.5,5
CITS,6,11,0,24.0,12
CITS,6,9,1,30.3,20
CITS,6,23,0,26.6,9
CITS,6,4,1,27.2,18
Bariga,0,2,0,14.3,15
Bariga,0,18,1,6.7,31
Bariga,0,21,0,16.7,14
Bariga,0,18,1,6.1,30
Bariga,0,17,0,9.9,16
Bariga,1,9,0,9.3,19
Bariga,1,6,0,16.2,9
Bariga,1,7,0,7.2,28
Bariga,1,13,1,26.3,26
Bariga,1,18,1,8.2,24
Bariga,2,9,0,6.3,27
Bariga,2,10,0,21.6,16
Bariga,2,14,0,13.5,9
Bariga,2,22,0,17.4,13
Bariga,2,2,0,17.0,15
Bariga,3,5,0,12.8,8
Bariga,3,15,0,14.4,7
Bariga,3,20,1,20.0,21
Bariga,3,12,0,14.0,13
Bariga,3,7,0,8.4,19
Bariga,4,8,0,5.4,22
Bariga,4,23,0,12.7,8
Bariga,4,7,0,9.4,28
Bariga,4,9,1,10.5,37
Bariga,4,16,1,10.4,31
Bariga,5,4,1,23.6,16
Bariga,5,17,1,33.2,16
Bariga,5,18,1,27.7,15
Bariga,5,16,0,31.1,7
Bariga,5,9,1,25.0,18
Bariga,6,18,0,22.2,4
Bariga,6,8,0,31.9,9
Bariga,6,20,1,27.7,15
Bariga,6,9,0,22.3,10
Bariga,6,19,0,32.2,9
Yaba,0,0,0,15.3,16
Yaba,0,18,0,9.1,20
Yaba,0,18,1,10.1,41
Yaba,0,10,0,20.0,9
Yaba,0,0,1,18.3,23
Yaba,1,16,0,9.9,24
Yaba,1,21,1,25.9,15
Yaba,1,3,0,19.3,10
Yaba,1,15,0,15.9,12
Yaba,1,7,0,5.0,30
Yaba,2,13,0,19.4,13
Yaba,2,9,1,9.1,32
Yaba,2,17,0,6.5,22
Yaba,2,9,0,5.6,22
Yaba,2,21,0,21.0,13
Yaba,3,8,0,5.0,20
Yaba,3,9,0,8.3,23
Yaba,3,9,1,8.6,36
Yaba,3,3,0,18.3,10
Yaba,3,18,0,8.4,19
Yaba,4,7,1,7.3,29
Yaba,4,9,0,6.0,27
Yaba,4,11,1,21.6,17
Yaba,4,3,0,13.8,16
Yaba,4,12,1,16.2,26
Yaba,5,16,0,28.9,10
Yaba,5,20,0,30.8,7
Yaba,5,18,0,33.5,9
Yaba,5,11,0,23.7,8
Yaba,5,17,0,29.4,5
Yaba,6,2,0,24.1,5
Yaba,6,13,1,27.1,14
Yaba,6,9,0,26.2,5
Yaba,6,9,0,28.8,8
Yaba,6,18,0,25.7,3
